slot,job_id,start_ns,end_ns,worker,task_id,index
0,0,1292035,1300924,5,65535,0
0,0,1300395,1322358,5,0,0
0,2,1321562,1323878,5,65532,0
0,121,1323790,1347314,5,1,0
0,6,1296030,1348252,5,65535,3
0,3,1348152,1350498,5,0,3
0,8,1350047,1350958,5,65532,3
0,203,1350924,1354798,5,1,3
0,10,1296345,1355645,5,65535,5
0,5,1355548,1356855,5,0,5
0,12,1356577,1357247,5,65532,5
0,205,1357198,1358726,5,1,5
0,14,1296648,1359508,5,65535,7
0,7,1359420,1360626,5,0,7
0,16,1360360,1361002,5,65532,7
0,207,1360969,1362363,5,1,7
0,18,1297068,1363129,5,65535,9
0,9,1363039,1366129,5,0,9
0,21,1365868,1366631,5,65532,9
0,209,1366598,1368246,5,1,9
0,23,1298758,1368942,5,65535,11
0,11,1368850,1370055,5,0,11
0,25,1369662,1370522,5,65532,11
0,211,1370420,1373894,5,1,11
0,27,1299176,1374634,5,65535,13
0,13,1374545,1375547,5,0,13
0,29,1375349,1375936,5,65532,13
0,213,1375904,1377201,5,1,13
0,31,1299465,1378123,5,65535,15
0,15,1378035,1379403,5,0,15
0,32,1379089,1379684,5,65532,15
0,215,1379653,1382444,5,1,15
0,35,1299750,1384380,5,65535,17
0,17,1384294,1386619,5,0,17
0,38,1386088,1387770,5,65532,17
0,217,1387682,1392016,5,1,17
0,40,1300475,1393612,5,65535,20
0,1,1294733,1301703,6,65535,1
0,1,1301391,1324448,6,0,1
0,3,1322135,1325665,6,65532,1
0,122,1325573,1347065,6,1,1
0,5,1295875,1347749,6,65535,2
0,2,1347657,1349286,6,0,2
0,7,1348955,1349799,6,65532,2
0,202,1349724,1351421,6,1,2
0,9,1296197,1352259,6,65535,4
0,4,1352177,1355820,6,0,4
0,11,1355546,1356267,6,65532,4
0,204,1356235,1357665,6,1,4
0,13,1296493,1358412,6,65535,6
0,6,1358326,1359680,6,0,6
0,15,1359427,1360193,6,65532,6
0,206,1360161,1361328,6,1,6
0,17,1296912,1362073,6,65535,8
0,8,1361994,1363249,6,0,8
0,19,1362873,1363832,6,65532,8
0,208,1363802,1365039,6,1,8
0,20,1298428,1365578,6,65535,10
0,10,1365495,1366886,6,0,10
0,22,1366640,1367397,6,65532,10
0,210,1367366,1368794,6,1,10
0,24,1299035,1369503,6,65535,12
0,12,1369420,1370729,6,0,12
0,26,1370366,1371108,6,65532,12
0,212,1371077,1374452,6,1,12
0,28,1299321,1375346,6,65535,14
0,14,1375257,1376767,6,0,14
0,30,1376507,1377177,6,65532,14
0,214,1377146,1380201,6,1,14
0,33,1299607,1381140,6,65535,16
0,16,1381035,1382317,6,0,16
0,34,1381958,1382647,6,65532,16
0,216,1382569,1384137,6,1,16
0,36,1299891,1385357,6,65535,18
0,18,1385264,1386698,6,0,18
0,37,1386171,1387601,6,65532,18
0,218,1387569,1391597,6,1,18
0,39,1300182,1392429,6,65535,19
0,19,1392349,1393749,6,0,19
0,41,1393226,1394616,6,65532,19
0,219,1394571,1397777,6,1,19
0,20,1393472,1396087,5,0,20
0,42,1395903,1396923,5,65532,20
0,220,1396892,1400518,5,1,20
0,43,1300650,1401349,5,65535,21
0,21,1401252,1402248,5,0,21
0,45,1300865,1403392,5,65535,22
0,22,1403312,1404832,5,0,22
0,46,1404624,1405220,5,65532,22
0,222,1405187,1407503,5,1,22
0,48,1301244,1408586,5,65535,24
0,24,1408492,1409858,5,0,24
0,50,1409597,1410345,5,65532,24
0,224,1410310,1412373,5,1,24
0,52,1301527,1414317,5,65535,26
0,26,1414233,1415840,5,0,26
0,54,1415417,1416388,5,65532,26
0,226,1416354,1417759,5,1,26
0,55,1301711,1418175,5,65535,27
0,27,1418142,1419372,5,0,27
0,57,1418951,1419857,5,65532,27
0,227,1419824,1421554,5,1,27
0,59,1301995,1422656,5,65535,29
0,29,1422545,1423634,5,0,29
0,61,1423337,1424012,5,65532,29
0,229,1423977,1425247,5,1,29
0,63,1303210,1427744,5,65535,31
0,31,1427649,1428649,5,0,31
0,64,1428482,1428989,5,65532,31
